feature,beta_std,SE,z,p_value,CI_low,CI_high,OR_per_1SD,OR_CI_low,OR_CI_high,converged,n_iter,method
intercept,-7.543500967115203,,,,,,,,,True,44,statsmodels.Logit (LBFGS) on standardized features
age,-0.9473587488187567,,,,,,0.3877638538208693,,,True,44,statsmodels.Logit (LBFGS) on standardized features
year,0.45018434969648735,,,,,,1.5686013300165953,,,True,44,statsmodels.Logit (LBFGS) on standardized features
stud_h,0.13453555509170986,,,,,,1.1440053334938474,,,True,44,statsmodels.Logit (LBFGS) on standardized features
psyt,-0.013525320199846848,,,,,,0.9865657359598836,,,True,44,statsmodels.Logit (LBFGS) on standardized features
jspe,-0.025942479098516602,,,,,,0.9743911358533504,,,True,44,statsmodels.Logit (LBFGS) on standardized features
qcae_cog,-0.2070550260710632,,,,,,0.8129749139413708,,,True,44,statsmodels.Logit (LBFGS) on standardized features
qcae_aff,0.10977756736519965,,,,,,1.1160298013990835,,,True,44,statsmodels.Logit (LBFGS) on standardized features
amsp,0.8442776538019271,,,,,,2.326296815851292,,,True,44,statsmodels.Logit (LBFGS) on standardized features
erec_mean,0.27807874969250884,,,,,,1.3205901891857021,,,True,44,statsmodels.Logit (LBFGS) on standardized features
cesd,1.1979370111566572,,,,,,3.313274618791392,,,True,44,statsmodels.Logit (LBFGS) on standardized features
stai_t,0.2526644112354153,,,,,,1.2874511501893071,,,True,44,statsmodels.Logit (LBFGS) on standardized features
sex_1,0.03129101297274832,,,,,,1.0317857232310987,,,True,44,statsmodels.Logit (LBFGS) on standardized features
sex_2,0.042925055037530725,,,,,,1.0438596598959573,,,True,44,statsmodels.Logit (LBFGS) on standardized features
sex_3,-0.4287787079687238,,,,,,0.6513040416293268,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_1,2.6950086683942076,,,,,,14.80564709391698,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_15,-1.4524789619757763,,,,,,0.23398951742058918,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_20,-1.610751193260245,,,,,,0.1997375162299479,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_37,0.6249919073882909,,,,,,1.8682308385042876,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_54,-0.1659749552453959,,,,,,0.847067448520126,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_60,-0.3654973065352229,,,,,,0.6938515081747415,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_63,-0.4836505071150585,,,,,,0.616528636635512,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_90,-1.7676360850534854,,,,,,0.17073611781717596,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_92,-0.35266696259449737,,,,,,0.7028112168300079,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_98,-0.26548301792344237,,,,,,0.7668354652336342,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_102,0.940472863346267,,,,,,2.5611922259598368,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_104,-0.5539089411529333,,,,,,0.5746989496306822,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_106,-0.8552491475880706,,,,,,0.42517724599949797,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_108,-0.12368767805607286,,,,,,0.883655782881009,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_114,-0.21403295774439146,,,,,,0.8073217770794443,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_118,0.4841145138016179,,,,,,1.6227374608485257,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_120,-0.44323953204548194,,,,,,0.6419534202542355,,,True,44,statsmodels.Logit (LBFGS) on standardized features
glang_121,-1.4234828337731378,,,,,,0.24087363146642535,,,True,44,statsmodels.Logit (LBFGS) on standardized features
job_0,0.07480089648578764,,,,,,1.0776695617257133,,,True,44,statsmodels.Logit (LBFGS) on standardized features
health_1,-2.7208730958600027,,,,,,0.06581726455177236,,,True,44,statsmodels.Logit (LBFGS) on standardized features
health_2,0.4116448667170022,,,,,,1.5092983390672128,,,True,44,statsmodels.Logit (LBFGS) on standardized features
health_3,0.6519489785651502,,,,,,1.9192778175026277,,,True,44,statsmodels.Logit (LBFGS) on standardized features
health_4,0.10448693754275219,,,,,,1.1101408926035572,,,True,44,statsmodels.Logit (LBFGS) on standardized features
health_5,0.30159486746029096,,,,,,1.3520133711291482,,,True,44,statsmodels.Logit (LBFGS) on standardized features
