feature,mean_abs_shap
cesd,1.0018182
amsp,0.92441887
stai_t,0.6003362
qcae_aff,0.5300988
stud_h,0.48102888
health_3,0.2791126
age,0.26432368
qcae_cog,0.23724705
erec_mean,0.1984986
jspe,0.1517355
glang_1,0.13293323
health_4,0.090725906
psyt,0.040720124
year,0.03722836
health_2,0.027265893
sex_2,0.015098894
job_0,0.010649716
health_5,0.0017939118
job_1,0.0012527738
sex_1,0.001155045
glang_54,0.0
glang_118,0.0
sex_3,0.0
glang_15,0.0
health_1,0.0
glang_20,0.0
glang_121,0.0
glang_120,0.0
glang_114,0.0
glang_37,0.0
glang_108,0.0
glang_106,0.0
glang_104,0.0
glang_102,0.0
glang_98,0.0
glang_92,0.0
glang_90,0.0
glang_63,0.0
glang_60,0.0
